Reservoir,Longitude_1,Latitude_1,Longitude_2,Latitude_2
Reservoir 152,118.9543056,29.56041667,118.9545567,29.56131843
Reservoir 152,118.8926389,29.56375,118.8931068,29.56554776
Reservoir 152,118.8977523,29.56719679,118.8981944,29.56708333
Reservoir 152,118.9066694,29.569725,118.9081944,29.56902778
Reservoir 152,118.9014079,29.57713586,118.9011228,29.57779314
Reservoir 152,118.9147339,29.58028466,118.914397,29.57902673
Reservoir 152,118.9177151,29.58007192,118.9184722,29.57986111
Reservoir 152,118.9207324,29.5810591,118.9189271,29.57961344
Reservoir 152,118.9374729,29.57815403,118.9366488,29.57751787
Reservoir 152,118.9761266,29.57859575,118.975529,29.57777778
Reservoir 152,118.9752523,29.57761546,118.9741376,29.57803012
Reservoir 152,118.9619322,29.57276299,118.9613072,29.57443159
Reservoir 152,118.9103046,29.57116998,118.9098044,29.57163367
Reservoir 152,118.9591428,29.56933384,118.9584842,29.56812185
Reservoir 152,118.9143056,29.57291667,118.9146552,29.57348402
Reservoir 152,118.9118056,29.57569444,118.9119623,29.57638441
Reservoir 152,118.9304525,29.57489688,118.931225,29.57389577
Reservoir 152,118.9327984,29.57776242,118.9331367,29.57504205
